|Sociedad CO|Equipo|Denominación|Perfil catálogo|Ubicac.técnica|Indicador ABC|Área de empresa|Pto.tbjo.resp.|Clase de aviso|Aviso|Descripción|Creado el|Inicio deseado|Fin deseado|Prioridad|Fecha de cierre|Status usuario|Status sistema|Autor del aviso|descripcion|descripcion2
176|ISA|2000236|Reactor línea monofásico 500 kV-RV|N-REACTO|PORC500R11MC-REACT||NOR|38B60001|N4|351157|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-06-01|2014-06-01|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
177|ISA|133034|Reactor línea monofásico 500 kV-A|N-REACTO|OCAN500R19MC-REACT||ORI|38B90001|N4|353832|Cambiar sílica reactor|2014-01-24|2014-02-11|2014-02-11|2.0|2014-03-05|INIC COND|MECE ORAS|WAMESA|cambiar silica reactor|cambiar silica
178|ISA|115058|Autotrafo Monofásico 500/230 kV-C|N-AUTOTR|SCAR230ATR-1-AUTOT||NOR|38B60001|N2|355941|Corregir goteo aceite valvula tanqu OLTC|2014-02-07|2014-05-18|2014-05-18|4.0|2014-05-18|INIC|MECE ORAS|JFAGUDELO|corregir goteo aceite valvula tanqu oltc|fuga aceite
179|ISA|115104|Reactor línea monofásico 500 kV-RV|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N2|355963|Corregir goteo aceite valvula infer cuba|2014-02-07|2014-05-15|2015-05-15|4.0|2014-05-15|INIC|MECE ORAS|JFAGUDELO|corregir goteo aceite valvula infer cuba|fuga aceite
180|ISA|112136|Reactor línea monofásico 500 kV-C|S-REACTO|CERR500R12MC-REACT||NOR|38B60001|N4|355888|Revisar Bornera indicador nivel aceiteFC|2014-02-07|2015-10-18|2015-10-18|4.0|2015-10-29|INIC ENPT|MECE ORAS|SAPEREZ|revisar bornera indicador nivel aceitefc|cambiar indicador nivel de aceite
181|ISA|201232|Autotrafo Monofásico 230/115 kV-A|N-AUTOTR|TORC230ATR-2-AUTOT||CEN|38B80001|N4|357317|Cambiar Silica Cuba Principal|2014-02-25|2014-05-21|2014-05-21|2.0|2014-05-21|INIC|MECE ORAS|GMEDINA|cambiar silica cuba principal|cambiar silica
182|ISA|109357|Reactor línea monofásico 500 kV-C|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N2|357860|Corregir goteo aceite valvula infer cuba|2014-03-01|2015-05-15|2015-05-15|5.0|2014-05-15|INIC|MECE ORAS|JFAGUDELO|corregir goteo aceite valvula infer cuba|fuga aceite
183|ISA|109355|Reactor línea monofásico 500 kV-A|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N4|357863|Revisar hermeticidad y cambiar silica|2014-03-01|2014-05-16|2014-05-16|2.0|2014-05-22|INIC|MECE ORAS PÁG.|JFAGUDELO|revisar hermeticidad y cambiar silica|cambiar silica
184|ISA|109356|Reactor línea monofásico 500 kV-B|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N4|357864|Cambiar silica gel|2014-03-01|2014-05-17|2014-05-17|2.0|2014-04-07|INIC|MECE ORAS|JFAGUDELO|cambiar silica gel|cambiar silica
185|TRAN|808997|Valledupar 2 100 MVA 220/110 kV|N-AUTOTR|VAL_220TRA02||VAL|38C20001|N4|359116|Abrir Valvulas Radiador Cerrado T-VAL02|2014-03-20|2014-05-09|2014-05-09|2.0|2014-05-13|INIC|MECE ORAS|EVILLA|abrir valvulas radiador cerrado t-val02|abrir valvulas radiador cerrado t-val02
