Equipo;Posición medida;Valor medido;Fecha;Texto;Texto Ampliado
2008098;EQUIPO TOTAL;3,00;20/12/2020;3-INSPECCIONES OPERATIVAS:SISTEMA DE ENF;3-INSPECCIONES OPERATIVAS:SISTEMA DE ENFRIAMIENTO. CONDICIÓN CUBA. /3-INSP=9-ENF/ 3-CUB/9-BUJ/3-P.CUB/
2010487;EQUIPO TOTAL;5,00;20/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP= 9-BUJ/
2010489;EQUIPO TOTAL;5,00;20/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP= 9-BUJ/
2010491;EQUIPO TOTAL;5,00;20/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP= 9-BUJ/
2010492;EQUIPO TOTAL;5,00;20/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP= 9-BUJ/
2014095;EQUIPO TOTAL;5,00;20/12/2020;/5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.C;/5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014096;EQUIPO TOTAL;5,00;20/12/2020;/5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.C;/5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014094;EQUIPO TOTAL;5,00;20/12/2020;/5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.C;/5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
120112;EQUIPO TOTAL;3,00;20/12/2020;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ/;
201169;EQUIPO TOTAL;2,00;20/12/2020;2-INSPECCIONES OPERATIVAS: SISTEMA DE EN;2-INSPECCIONES OPERATIVAS: SISTEMA DE ENFRIAMIENTO. CONDICIÓN CUBA. 3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ/ /2-INSP=9-ENF/2-PRO-M/ 9- CUB/ 9-P.CUB/
